Location,Indicator,Period,Dim1,First Tooltip
Afghanistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.2
Afghanistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.3
Afghanistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.1
Albania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.4
Albania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.5
Albania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.7
Algeria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1
Algeria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,1.6
Algeria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.4
Andorra,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Andorra,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Andorra,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Angola,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.8
Angola,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.4
Angola,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.6
Antigua and Barbuda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.5
Antigua and Barbuda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.2
Antigua and Barbuda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Argentina,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.4
Argentina,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.2
Argentina,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
Armenia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6
Armenia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.7
Armenia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.3
Australia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.6
Australia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.9
Australia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.2
Austria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.3
Austria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.6
Austria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.3
Azerbaijan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.9
Azerbaijan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.8
Azerbaijan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.7
Bahamas,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.7
Bahamas,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.3
Bahamas,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
Bahrain,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.9
Bahrain,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.8
Bahrain,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.7
Bangladesh,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.9
Bangladesh,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.9
Bangladesh,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.8
Barbados,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.6
Barbados,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.4
Barbados,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.9
Belarus,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,24
Belarus,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,23.8
Belarus,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,24.2
Belgium,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.4
Belgium,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8
Belgium,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.8
Belize,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.5
Belize,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.6
Belize,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.9
Benin,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.6
Benin,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4
Benin,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Bhutan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.4
Bhutan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,3.6
Bhutan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Bolivia (Plurinational State of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.1
Bolivia (Plurinational State of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.2
Bolivia (Plurinational State of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.3
Bosnia and Herzegovina,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.6
Bosnia and Herzegovina,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.7
Bosnia and Herzegovina,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Botswana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.7
Botswana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9
Botswana,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.1
Brazil,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.9
Brazil,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.9
Brazil,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.7
Brunei Darussalam,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.2
Brunei Darussalam,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.9
Brunei Darussalam,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.4
Bulgaria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.9
Bulgaria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.7
Bulgaria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.9
Burkina Faso,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.5
Burkina Faso,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.7
Burkina Faso,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.4
Burundi,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5
Burundi,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.4
Burundi,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.2
Cabo Verde,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.5
Cabo Verde,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.2
Cabo Verde,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.9
Cambodia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,8
Cambodia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12.1
Cambodia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.8
Cameroon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6
Cameroon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.1
Cameroon,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.7
Canada,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.5
Canada,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.1
Canada,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.9
Central African Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.6
Central African Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.5
Central African Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Chad,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.8
Chad,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.8
Chad,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.7
Chile,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.4
Chile,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9
Chile,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
China,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.8
China,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.1
China,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1
Colombia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.1
Colombia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.8
Colombia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Comoros,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.9
