Location,Indicator,Period,Dim1,First Tooltip
Afghanistan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,5.5
Afghanistan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,1.1
Albania,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,70.3
Albania,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,45.6
Algeria,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,22.7
Algeria,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,7
Andorra,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,No data
Andorra,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,No data
Angola,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,60.9
Angola,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,40
Antigua and Barbuda,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,67.6
Antigua and Barbuda,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,45.9
Argentina,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,72.3
Argentina,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,54.2
Armenia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,69.2
Armenia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,34.7
Australia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,74.1
Australia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,62.5
Austria,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,75.8
Austria,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,63
Azerbaijan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,46
Azerbaijan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,22.2
Bahamas,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,51.2
Bahamas,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,32.4
Bahrain,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,31.8
Bahrain,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,11.8
Bangladesh,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,10
Bangladesh,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,8.4
Barbados,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,72.3
Barbados,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,51.3
Belarus,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,52
Belarus,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,63.6
Belgium,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,77.1
Belgium,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,63.9
Belize,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,64.4
Belize,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,39.4
Benin,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,42.9
Benin,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,22.3
Bhutan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,14.4
Bhutan,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,13.7
Bolivia (Plurinational State of),"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,52.5
Bolivia (Plurinational State of),"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,34.2
Bosnia and Herzegovina,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,68.6
Bosnia and Herzegovina,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,43
Botswana,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,67.8
Botswana,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,41.5
Brazil,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,69.5
Brazil,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,42.6
Brunei Darussalam,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,21
Brunei Darussalam,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,24.4
Bulgaria,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,79.2
Bulgaria,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,62.1
Burkina Faso,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,66.9
Burkina Faso,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,42.3
Burundi,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,66.7
Burundi,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,40.3
Cabo Verde,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,61.5
Cabo Verde,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,33.1
Cambodia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,66.5
Cambodia,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,38
Cameroon,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,67.4
Cameroon,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,43.7
Canada,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,72.7
Canada,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,54.6
Central African Republic,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,43.3
Central African Republic,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,28.5
Chad,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,26.9
Chad,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,16
Chile,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,71
Chile,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Female,53.6
China,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2016,Male,62.6
