GeometryCode,First LinkToJSON,First Location,First Period,First Tooltip,First ValueType,First LANGUAGE_CODE,Year,First HexMin,First HexMax,First FactValueForMeasure
AZE,country_frm.json,Azerbaijan,2015,2.3,numeric,en,2015,#99D1E9,#1D617E,2.3
BLR,country_frm.json,Belarus,2015,18.2,numeric,en,2015,#99D1E9,#1D617E,18.2
CAN,country_frm.json,Canada,2002,35.8,numeric,en,2002,#99D1E9,#1D617E,35.8
CHL,country_frm.json,Chile,2014,4.6,numeric,en,2014,#99D1E9,#1D617E,4.6
CZE,country_frm.json,Czechia,2014,21.4,numeric,en,2014,#99D1E9,#1D617E,21.4
EST,country_frm.json,Estonia,2014,15.8,numeric,en,2014,#99D1E9,#1D617E,15.8
FIN,country_frm.json,Finland,2015,0.8,numeric,en,2015,#99D1E9,#1D617E,0.8
FSM,country_frm.json,Micronesia (Federated States of),2007,42.7,numeric,en,2007,#99D1E9,#1D617E,42.7
GBR,country_frm.json,United Kingdom of Great Britain and Northern Ireland,2011,55.7,numeric,en,2011,#99D1E9,#1D617E,55.7
GEO,country_frm.json,Georgia,2015,0.7,numeric,en,2015,#99D1E9,#1D617E,0.7
GRD,country_frm.json,Grenada,2010,40,numeric,en,2010,#99D1E9,#1D617E,40
HRV,country_frm.json,Croatia,2014,9.2,numeric,en,2014,#99D1E9,#1D617E,9.2
HUN,country_frm.json,Hungary,2012,3.5,numeric,en,2012,#99D1E9,#1D617E,3.5
IRL,country_frm.json,Ireland,2015,14.6,numeric,en,2015,#99D1E9,#1D617E,14.6
IRN,country_frm.json,Iran (Islamic Republic of),2012,2.3,numeric,en,2012,#99D1E9,#1D617E,2.3
LTU,country_frm.json,Lithuania,2015,26,numeric,en,2015,#99D1E9,#1D617E,26
LVA,country_frm.json,Latvia,2015,10.1,numeric,en,2015,#99D1E9,#1D617E,10.1
MHL,country_frm.json,Marshall Islands,2004,70,numeric,en,2004,#99D1E9,#1D617E,70
MNG,country_frm.json,Mongolia,2007,22.6,numeric,en,2007,#99D1E9,#1D617E,22.6
NOR,country_frm.json,Norway,2014,0.4,numeric,en,2014,#99D1E9,#1D617E,0.4
NZL,country_frm.json,New Zealand,2014,30,numeric,en,2014,#99D1E9,#1D617E,30
PLW,country_frm.json,Palau,2014,29.2,numeric,en,2014,#99D1E9,#1D617E,29.2
RUS,country_frm.json,Russian Federation,1994,34.9,numeric,en,1994,#99D1E9,#1D617E,34.9
SLB,country_frm.json,Solomon Islands,1992,54,numeric,en,1992,#99D1E9,#1D617E,54
SVK,country_frm.json,Slovakia,2014,10.9,numeric,en,2014,#99D1E9,#1D617E,10.9
UKR,country_frm.json,Ukraine,2015,15.7,numeric,en,2015,#99D1E9,#1D617E,15.7
USA,country_frm.json,United States of America,2014,16.5,numeric,en,2014,#99D1E9,#1D617E,16.5
VEN,country_frm.json,Venezuela (Bolivarian Republic of),1990,20,numeric,en,1990,#99D1E9,#1D617E,20
