Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0.2
Afghanistan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.3
Afghanistan,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Albania,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.6
Albania,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.4
Albania,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Algeria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,0
Algeria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,0.1
Algeria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0
Andorra,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.5
Andorra,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.2
Andorra,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Angola,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.9
Angola,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,7
Angola,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1
Antigua and Barbuda,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.8
Antigua and Barbuda,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,5.9
Antigua and Barbuda,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Argentina,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,3.8
Argentina,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,6
Argentina,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.8
Armenia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.5
Armenia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,4.5
Armenia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,0.8
Australia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,2.9
Australia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,3.9
Australia,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,1.9
Austria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Both sexes,6.1
Austria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Male,9.3
Austria,2016,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",Female,3.1
