Location,Indicator,Period,First Tooltip
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2015,3.4
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2014,4.3
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2013,1.3
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2012,0.7
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2011,0.6
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2010,1.5
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2009,3.7
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2008,2.3
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2007,2
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2006,2.7
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2005,0.6
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2004,0.9
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2003,0.6
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2002,0.5
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2001,0.5
Albania,"Alcohol-related road traffic crashes, per 100,000 population",2000,0.3
Albania,"Alcohol-related road traffic crashes, per 100,000 population",1999,0.3
Albania,"Alcohol-related road traffic crashes, per 100,000 population",1998,0.2
Albania,"Alcohol-related road traffic crashes, per 100,000 population",1997,0.5
Albania,"Alcohol-related road traffic crashes, per 100,000 population",1996,0.3
Albania,"Alcohol-related road traffic crashes, per 100,000 population",1995,0.5
Andorra,"Alcohol-related road traffic crashes, per 100,000 population",2002,0.5
Andorra,"Alcohol-related road traffic crashes, per 100,000 population",2001,0.3
Andorra,"Alcohol-related road traffic crashes, per 100,000 population",2000,0.3
Andorra,"Alcohol-related road traffic crashes, per 100,000 population",1999,0.2
Andorra,"Alcohol-related road traffic crashes, per 100,000 population",1998,0.5
Andorra,"Alcohol-related road traffic crashes, per 100,000 population",1997,0.3
Andorra,"Alcohol-related road traffic crashes, per 100,000 population",1996,0.5
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2008,2.6
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2007,2.4
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2006,2.2
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2005,1.9
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2004,2.5
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2003,1.5
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2002,1.3
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2001,1
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",2000,1.6
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",1999,1.5
Armenia,"Alcohol-related road traffic crashes, per 100,000 population",1998,1.4
