Location,Indicator,Period,First Tooltip
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2015,4.9
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2014,6.4
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2013,1.8
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2012,1
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2011,0.9
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2010,2.7
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2009,7.4
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2008,5.5
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2007,4.7
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2006,8
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2005,2.1
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2004,3.3
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2003,4.4
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2002,4.6
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2001,3.8
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),2000,1.6
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),1999,1.9
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),1998,0.9
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),1997,3.5
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),1996,1.8
Albania,Alcohol-related road traffic crashes (% of all traffic crashes),1995,3.3
Armenia,Alcohol-related road traffic crashes (% of all traffic crashes),2008,3.4
Australia,Alcohol-related road traffic crashes (% of all traffic crashes),1995,30
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2015,5.9
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2014,5.8
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2013,6.1
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2012,6.6
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2011,6.4
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2010,6.4
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2009,6.6
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2008,6.8
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2007,6.6
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2006,6.5
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2005,6.7
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2004,6.6
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2003,6.5
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2002,6.3
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2001,5.9
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),2000,6.1
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),1999,5.8
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),1998,5.7
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),1997,6.3
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),1996,6.6
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),1995,6.8
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),1994,6.8
Austria,Alcohol-related road traffic crashes (% of all traffic crashes),1993,6.5
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2015,2.5
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2014,2.3
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2013,2.8
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2012,3.4
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2011,3.2
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2010,2.7
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2009,3.4
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2008,2.7
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2007,2.7
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2006,2.9
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2005,3
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2004,No data
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2003,No data
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2002,No data
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2001,No data
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),2000,4.7
Azerbaijan,Alcohol-related road traffic crashes (% of all traffic crashes),1995,4.5
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2014,11.6
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2013,12.2
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2012,13.5
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2011,15.2
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2010,14
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2009,15.2
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2008,14
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2007,11.4
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2006,10.5
Belarus,Alcohol-related road traffic crashes (% of all traffic crashes),2005,10.7
Belgium,Alcohol-related road traffic crashes (% of all traffic crashes),2013,10.5
Belgium,Alcohol-related road traffic crashes (% of all traffic crashes),2012,10.5
Belgium,Alcohol-related road traffic crashes (% of all traffic crashes),2000,8.5
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2012,18.1
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2011,16.1
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2010,15.1
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2009,24.3
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2008,7.8
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2007,4.8
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2006,2.5
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2005,2.3
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2004,5.5
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2003,No data
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2002,No data
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2001,No data
Bhutan,Alcohol-related road traffic crashes (% of all traffic crashes),2000,6.9
Bolivia (Plurinational State of),Alcohol-related road traffic crashes (% of all traffic crashes),2004,51.9
Bolivia (Plurinational State of),Alcohol-related road traffic crashes (% of all traffic crashes),1990,19
Brazil,Alcohol-related road traffic crashes (% of all traffic crashes),1990,25
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2015,2.8
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2014,2.6
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2013,3.5
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2012,4
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2011,4.1
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2010,4.4
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2009,3.6
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2008,4.8
Bulgaria,Alcohol-related road traffic crashes (% of all traffic crashes),2007,4.1
Cambodia,Alcohol-related road traffic crashes (% of all traffic crashes),2013,23
Cambodia,Alcohol-related road traffic crashes (% of all traffic crashes),2012,13
Cambodia,Alcohol-related road traffic crashes (% of all traffic crashes),2011,11
Cambodia,Alcohol-related road traffic crashes (% of all traffic crashes),2010,13.7
Cambodia,Alcohol-related road traffic crashes (% of all traffic crashes),2009,18
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2012,17.1
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2011,17.4
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2010,18.9
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2009,18.7
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2008,18.6
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2007,19
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2006,20.3
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2005,17.7
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2004,18.6
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2003,17.7
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2002,18.9
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2001,19.2
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),2000,18.6
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),1999,18.9
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),1998,18.7
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),1997,19.4
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),1996,20.2
Canada,Alcohol-related road traffic crashes (% of all traffic crashes),1995,20.8
Chile,Alcohol-related road traffic crashes (% of all traffic crashes),2014,50.7
Chile,Alcohol-related road traffic crashes (% of all traffic crashes),2013,33.6
Chile,Alcohol-related road traffic crashes (% of all traffic crashes),2012,50
Chile,Alcohol-related road traffic crashes (% of all traffic crashes),1998,50
China,Alcohol-related road traffic crashes (% of all traffic crashes),2001,50
Colombia,Alcohol-related road traffic crashes (% of all traffic crashes),1995,15
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2014,36
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2013,20
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2012,26
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2011,30
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2010,21
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2009,28
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2008,41
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2007,53
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2006,50
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2005,35.6
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2004,38.5
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2003,30.5
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2002,22.2
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2001,29.7
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),2000,24.7
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),1999,18.8
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),1998,28.4
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),1997,43.8
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),1996,30
Cook Islands,Alcohol-related road traffic crashes (% of all traffic crashes),1995,28.4
Costa Rica,Alcohol-related road traffic crashes (% of all traffic crashes),1992,5
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2014,18.7
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2013,18.8
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2012,21.3
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2011,20.6
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2010,20.8
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2009,23.8
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2008,24.7
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2007,24.3
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2006,23.1
Croatia,Alcohol-related road traffic crashes (% of all traffic crashes),2005,22.2
Cuba,Alcohol-related road traffic crashes (% of all traffic crashes),2013,1.6
Cuba,Alcohol-related road traffic crashes (% of all traffic crashes),2012,1.5
Cuba,Alcohol-related road traffic crashes (% of all traffic crashes),2011,1.8
Cuba,Alcohol-related road traffic crashes (% of all traffic crashes),2010,2.5
Cuba,Alcohol-related road traffic crashes (% of all traffic crashes),2009,2.8
Cyprus,Alcohol-related road traffic crashes (% of all traffic crashes),2014,16.7
Cyprus,Alcohol-related road traffic crashes (% of all traffic crashes),2013,14.4
Cyprus,Alcohol-related road traffic crashes (% of all traffic crashes),2012,18.2
Cyprus,Alcohol-related road traffic crashes (% of all traffic crashes),2011,16
Cyprus,Alcohol-related road traffic crashes (% of all traffic crashes),2010,16.3
Cyprus,Alcohol-related road traffic crashes (% of all traffic crashes),2009,12.8
Cyprus,Alcohol-related road traffic crashes (% of all traffic crashes),2008,21
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2015,4.9
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2014,5.4
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2013,5.6
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2012,6.1
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2011,7
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2010,6.6
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2009,7.7
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2008,4.5
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2007,4.1
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2006,3.6
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2005,4.1
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2004,No data
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2003,No data
Czechia,Alcohol-related road traffic crashes (% of all traffic crashes),2002,5.3
Denmark,Alcohol-related road traffic crashes (% of all traffic crashes),2015,11.5
Denmark,Alcohol-related road traffic crashes (% of all traffic crashes),2014,12.4
Denmark,Alcohol-related road traffic crashes (% of all traffic crashes),2013,14.4
Denmark,Alcohol-related road traffic crashes (% of all traffic crashes),2012,14.7
Denmark,Alcohol-related road traffic crashes (% of all traffic crashes),2011,15.9
