Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.4
Afghanistan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,0.6
Afghanistan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0.1
Albania,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.9
Albania,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.9
Albania,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.1
Algeria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,0.8
Algeria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,1.5
Algeria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,0
Andorra,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.9
Andorra,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.8
Andorra,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.2
Angola,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6
Angola,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.6
Angola,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,1.7
Antigua and Barbuda,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.5
Antigua and Barbuda,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.8
Antigua and Barbuda,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Argentina,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.8
Argentina,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10.8
Argentina,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3
Armenia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,5.7
Armenia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.9
Armenia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.2
Australia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,4.4
Australia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,6.1
Australia,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.7
Austria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,12
Austria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,18.1
Austria,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,6.1
Azerbaijan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6
Azerbaijan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,10
Azerbaijan,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,2.1
Bahamas,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,6.7
Bahamas,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Male,9.9
Bahamas,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Female,3.7
Bahrain,2016,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",Both sexes,1.6
